Radius;Total flux mean;Std. deviation
1.00000;8.71454e-003;1.92946e-006
2.00000;1.89886e-006;4.70701e-009
3.00000;3.55212e-007;9.84355e-010
4.00000;1.23638e-007;4.74272e-010
5.00000;5.63942e-008;2.39152e-010
6.00000;2.55157e-008;1.19550e-010
7.00000;1.65114e-008;8.06822e-011
8.00000;1.02999e-008;5.78635e-011
9.00000;7.45335e-009;4.46901e-011
10.00000;5.31673e-009;3.04957e-011
11.00000;3.31985e-009;2.25498e-011
12.00000;2.52806e-009;1.93311e-011
13.00000;2.00226e-009;1.38070e-011
14.00000;1.70732e-009;1.25381e-011
15.00000;1.45685e-009;1.07681e-011
16.00000;1.18779e-009;8.46086e-012
17.00000;9.61726e-010;7.96536e-012
18.00000;7.41995e-010;6.08224e-012
19.00000;6.64030e-010;6.85161e-012
20.00000;6.07743e-010;5.36565e-012
21.00000;4.22752e-010;4.26838e-012
22.00000;4.48614e-010;3.94277e-012
23.00000;3.53798e-010;3.71641e-012
24.00000;2.88732e-010;3.11112e-012
25.00000;2.59822e-010;2.62145e-012
26.00000;1.83541e-010;2.30641e-012
27.00000;1.79163e-010;1.94841e-012
28.00000;1.59286e-010;1.85767e-012
29.00000;1.97486e-010;2.12341e-012
30.00000;1.43556e-010;1.64999e-012
31.00000;1.03625e-010;1.45741e-012
32.00000;1.16427e-010;1.54210e-012
33.00000;1.05721e-010;1.30812e-012
34.00000;9.45039e-011;1.18770e-012
35.00000;9.72741e-011;1.45776e-012
36.00000;9.11359e-011;1.11325e-012
37.00000;7.94121e-011;1.14681e-012
38.00000;6.09019e-011;8.17865e-013
39.00000;5.24850e-011;9.24075e-013
40.00000;6.30375e-011;8.34333e-013
41.00000;5.25939e-011;7.58705e-013
42.00000;6.92342e-011;9.01404e-013
43.00000;3.02040e-011;6.17662e-013
44.00000;5.15516e-011;6.13971e-013
45.00000;3.56434e-011;6.09908e-013
46.00000;3.73089e-011;5.72000e-013
47.00000;4.29235e-011;5.59230e-013
48.00000;2.97829e-011;4.15725e-013
49.00000;3.33600e-011;4.73510e-013
50.00000;2.45032e-011;4.15980e-013
51.00000;3.91582e-011;5.29321e-013
52.00000;2.77216e-011;4.00090e-013
53.00000;2.06949e-011;4.31540e-013
54.00000;2.42392e-011;3.83395e-013
55.00000;1.73330e-011;3.37330e-013
56.00000;1.68001e-011;3.02055e-013
57.00000;2.00195e-011;3.29332e-013
58.00000;2.27954e-011;3.86394e-013
59.00000;1.76243e-011;2.87706e-013
60.00000;1.61381e-011;2.83905e-013
61.00000;1.46135e-011;2.55398e-013
62.00000;1.18064e-011;2.28226e-013
63.00000;1.50038e-011;2.61782e-013
64.00000;1.10634e-011;2.47270e-013
65.00000;1.15160e-011;2.00279e-013
66.00000;1.20271e-011;2.57519e-013
67.00000;1.13981e-011;2.10807e-013
68.00000;1.04580e-011;2.04982e-013
69.00000;1.09253e-011;1.88389e-013
70.00000;1.12857e-011;1.99015e-013
71.00000;9.00725e-012;1.96534e-013
72.00000;6.37473e-012;1.71246e-013
73.00000;9.82094e-012;1.55430e-013
74.00000;7.14640e-012;1.42863e-013
75.00000;6.69011e-012;1.63850e-013
76.00000;6.60832e-012;1.64302e-013
77.00000;8.20814e-012;1.78334e-013
78.00000;5.62801e-012;1.17444e-013
79.00000;6.07486e-012;1.32393e-013
80.00000;6.43977e-012;1.26372e-013
81.00000;8.92580e-012;1.44872e-013
82.00000;5.64758e-012;1.30038e-013
83.00000;6.78351e-012;1.38081e-013
84.00000;5.90696e-012;1.20677e-013
85.00000;8.49550e-012;1.48062e-013
86.00000;6.13024e-012;1.34506e-013
87.00000;3.30046e-012;8.27362e-014
88.00000;5.80640e-012;1.17121e-013
89.00000;2.74660e-012;8.14144e-014
90.00000;4.30076e-012;1.01244e-013
91.00000;4.41236e-012;9.47830e-014
92.00000;3.81417e-012;8.76591e-014
93.00000;4.77850e-012;1.06263e-013
94.00000;4.86375e-012;9.66179e-014
95.00000;2.85529e-012;7.68095e-014
96.00000;3.32684e-012;7.94004e-014
97.00000;4.57463e-012;9.58744e-014
98.00000;3.34411e-012;7.72723e-014
99.00000;3.66321e-012;7.84693e-014
100.00000;3.51758e-012;8.71254e-014
